participant,branch,application,gender,age,rp,tp,fn,pp,fp,desired_tpr,tpr,desired_ppv,ppv,acceptable,useful,would_use,acceptable_b,useful_b,would_use_b
p12,UI,alarm_text_message,Male,55,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p12,UI,alarm_text_message,Male,55,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p12,UI,alarm_text_message,Male,55,10,5,5,10,5,0.5,0.5,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p12,UI,alarm_text_message,Male,55,10,7,3,7,0,0.666666667,0.7,1,1,Slightly unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p12,UI,alarm_text_message,Male,55,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p12,UI,alarm_text_message,Male,55,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p12,UI,alarm_text_message,Male,55,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p12,UI,alarm_text_message,Male,55,10,8,2,8,0,0.833333333,0.8,1,1,Slightly likely,Slightly likely,Slightly likely,TRUE,TRUE,TRUE
p12,UI,alarm_text_message,Male,55,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Slightly unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p12,UI,alarm_text_message,Male,55,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p12,UI,alarm_text_message,Male,55,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p12,UI,alarm_text_message,Male,55,10,10,0,10,0,1,1,1,1,Extremely likely,Extremely likely,Extremely likely,TRUE,TRUE,TRUE
p12,UI,alarm_text_message,Male,55,10,10,0,12,2,1,1,0.833333333,0.833333333,Slightly likely,Slightly likely,Slightly likely,TRUE,TRUE,TRUE
p12,UI,alarm_text_message,Male,55,10,10,0,15,5,1,1,0.666666667,0.666666667,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p12,UI,alarm_text_message,Male,55,10,10,0,20,10,1,1,0.5,0.5,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p13,Application,electricity,Female,55,10,5,5,5,0,0.5,0.5,1,1,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p13,Application,electricity,Female,55,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p13,Application,electricity,Female,55,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p13,Application,electricity,Female,55,10,5,5,10,5,0.5,0.5,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p13,Application,electricity,Female,55,10,7,3,7,0,0.666666667,0.7,1,1,Quite likely,Quite likely,Quite likely,TRUE,TRUE,TRUE
p13,Application,electricity,Female,55,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Slightly likely,Quite likely,Quite likely,TRUE,TRUE,TRUE
p13,Application,electricity,Female,55,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p13,Application,electricity,Female,55,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Extremely unlikely,Slightly unlikely,Quite unlikely,FALSE,FALSE,FALSE
p13,Application,electricity,Female,55,10,8,2,8,0,0.833333333,0.8,1,1,Slightly likely,Quite likely,Quite likely,TRUE,TRUE,TRUE
p13,Application,electricity,Female,55,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Slightly likely,Slightly likely,Slightly likely,TRUE,TRUE,TRUE
p13,Application,electricity,Female,55,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Slightly likely,Slightly likely,Slightly likely,TRUE,TRUE,TRUE
p13,Application,electricity,Female,55,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p13,Application,electricity,Female,55,10,10,0,10,0,1,1,1,1,Extremely likely,Extremely likely,Extremely likely,TRUE,TRUE,TRUE
p13,Application,electricity,Female,55,10,10,0,12,2,1,1,0.833333333,0.833333333,Slightly likely,Quite likely,Quite likely,TRUE,TRUE,TRUE
p13,Application,electricity,Female,55,10,10,0,15,5,1,1,0.666666667,0.666666667,Quite unlikely,Slightly likely,Slightly unlikely,FALSE,TRUE,FALSE
p13,Application,electricity,Female,55,10,10,0,20,10,1,1,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p14,UI,alarm_police,Female,27,10,5,5,5,0,0.5,0.5,1,1,Quite likely,Quite likely,Quite likely,TRUE,TRUE,TRUE
p14,UI,alarm_police,Female,27,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p14,UI,alarm_police,Female,27,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p14,UI,alarm_police,Female,27,10,5,5,10,5,0.5,0.5,0.5,0.5,Quite unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p14,UI,alarm_police,Female,27,10,7,3,7,0,0.666666667,0.7,1,1,Quite likely,Quite likely,Quite likely,TRUE,TRUE,TRUE
p14,UI,alarm_police,Female,27,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Slightly likely,Slightly likely,Neither,TRUE,TRUE,FALSE
p14,UI,alarm_police,Female,27,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p14,UI,alarm_police,Female,27,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Quite unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p14,UI,alarm_police,Female,27,10,8,2,8,0,0.833333333,0.8,1,1,Quite likely,Quite likely,Quite likely,TRUE,TRUE,TRUE
p14,UI,alarm_police,Female,27,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Slightly likely,Slightly likely,Slightly likely,TRUE,TRUE,TRUE
p14,UI,alarm_police,Female,27,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Slightly unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p14,UI,alarm_police,Female,27,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Quite unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p14,UI,alarm_police,Female,27,10,10,0,10,0,1,1,1,1,Extremely likely,Extremely likely,Extremely likely,TRUE,TRUE,TRUE
p14,UI,alarm_police,Female,27,10,10,0,12,2,1,1,0.833333333,0.833333333,Quite likely,Quite likely,Quite likely,TRUE,TRUE,TRUE
p14,UI,alarm_police,Female,27,10,10,0,15,5,1,1,0.666666667,0.666666667,Slightly unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p14,UI,alarm_police,Female,27,10,10,0,20,10,1,1,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p14,UI,alarm_text_message,Female,27,10,5,5,5,0,0.5,0.5,1,1,Slightly likely,Slightly likely,Slightly likely,TRUE,TRUE,TRUE
p14,UI,alarm_text_message,Female,27,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Slightly unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p14,UI,alarm_text_message,Female,27,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Slightly likely,Slightly likely,Slightly likely,TRUE,TRUE,TRUE
p14,UI,alarm_text_message,Female,27,10,5,5,10,5,0.5,0.5,0.5,0.5,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p14,UI,alarm_text_message,Female,27,10,7,3,7,0,0.666666667,0.7,1,1,Extremely likely,Extremely likely,Extremely likely,TRUE,TRUE,TRUE
p14,UI,alarm_text_message,Female,27,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Slightly likely,Slightly likely,Slightly likely,TRUE,TRUE,TRUE
p14,UI,alarm_text_message,Female,27,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Quite likely,Quite likely,Quite likely,TRUE,TRUE,TRUE
p14,UI,alarm_text_message,Female,27,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Quite likely,Quite likely,Quite likely,TRUE,TRUE,TRUE
p14,UI,alarm_text_message,Female,27,10,8,2,8,0,0.833333333,0.8,1,1,Extremely likely,Extremely likely,Extremely likely,TRUE,TRUE,TRUE
p14,UI,alarm_text_message,Female,27,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Quite likely,Quite likely,Extremely likely,TRUE,TRUE,TRUE
p14,UI,alarm_text_message,Female,27,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Slightly likely,Slightly likely,Slightly likely,TRUE,TRUE,TRUE
p14,UI,alarm_text_message,Female,27,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Quite likely,Quite likely,Quite likely,TRUE,TRUE,TRUE
p14,UI,alarm_text_message,Female,27,10,10,0,10,0,1,1,1,1,Extremely likely,Extremely likely,Extremely likely,TRUE,TRUE,TRUE
p14,UI,alarm_text_message,Female,27,10,10,0,12,2,1,1,0.833333333,0.833333333,Extremely likely,Extremely likely,Extremely likely,TRUE,TRUE,TRUE
p14,UI,alarm_text_message,Female,27,10,10,0,15,5,1,1,0.666666667,0.666666667,Extremely likely,Extremely likely,Extremely likely,TRUE,TRUE,TRUE
p14,UI,alarm_text_message,Female,27,10,10,0,20,10,1,1,0.5,0.5,Extremely likely,Extremely likely,Extremely likely,TRUE,TRUE,TRUE
p15,UI,alarm_police,Male,36,10,5,5,5,0,0.5,0.5,1,1,Slightly likely,Slightly likely,Slightly unlikely,TRUE,TRUE,FALSE
p15,UI,alarm_police,Male,36,10,5,5,10,5,0.5,0.5,0.5,0.5,Extremely unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p15,UI,alarm_police,Male,36,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p15,UI,alarm_police,Male,36,10,8,2,8,0,0.833333333,0.8,1,1,Quite likely,Quite unlikely,Extremely unlikely,TRUE,FALSE,FALSE
p15,UI,alarm_police,Male,36,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Slightly likely,Quite unlikely,Slightly unlikely,TRUE,FALSE,FALSE
p15,UI,alarm_police,Male,36,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Quite unlikely,Quite unlikely,NA,FALSE,FALSE,NA
p17,Application,alarm_text_message,Male,32,10,5,5,5,0,0.5,0.5,1,1,Quite unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p17,Application,alarm_text_message,Male,32,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Quite unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p17,Application,alarm_text_message,Male,32,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Quite unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p17,Application,alarm_text_message,Male,32,10,5,5,10,5,0.5,0.5,0.5,0.5,Quite unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p17,Application,alarm_text_message,Male,32,10,7,3,7,0,0.666666667,0.7,1,1,Slightly unlikely,Slightly unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p17,Application,alarm_text_message,Male,32,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Slightly unlikely,Slightly unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p17,Application,alarm_text_message,Male,32,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Quite unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p17,Application,alarm_text_message,Male,32,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Quite unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p17,Application,alarm_text_message,Male,32,10,8,2,8,0,0.833333333,0.8,1,1,Slightly likely,Slightly likely,Slightly unlikely,TRUE,TRUE,FALSE
p17,Application,alarm_text_message,Male,32,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Slightly unlikely,Slightly unlikely,Quite unlikely,FALSE,FALSE,FALSE
p17,Application,alarm_text_message,Male,32,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Slightly unlikely,Slightly unlikely,Quite unlikely,FALSE,FALSE,FALSE
p17,Application,alarm_text_message,Male,32,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Slightly unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p17,Application,alarm_text_message,Male,32,10,10,0,10,0,1,1,1,1,Extremely likely,Extremely likely,Quite likely,TRUE,TRUE,TRUE
p17,Application,alarm_text_message,Male,32,10,10,0,12,2,1,1,0.833333333,0.833333333,Extremely likely,Quite likely,Slightly likely,TRUE,TRUE,TRUE
p17,Application,alarm_text_message,Male,32,10,10,0,15,5,1,1,0.666666667,0.666666667,Quite likely,Quite likely,Neither,TRUE,TRUE,FALSE
p17,Application,alarm_text_message,Male,32,10,10,0,20,10,1,1,0.5,0.5,Slightly unlikely,Slightly unlikely,Quite unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_police,Male,56,10,5,5,5,0,0.5,0.5,1,1,Quite unlikely,Slightly unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_police,Male,56,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_police,Male,56,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_police,Male,56,10,5,5,10,5,0.5,0.5,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_police,Male,56,10,7,3,7,0,0.666666667,0.7,1,1,Neither,Slightly likely,Slightly unlikely,FALSE,TRUE,FALSE
p19,UI,alarm_police,Male,56,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Slightly unlikely,Neither,Quite unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_police,Male,56,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Extremely unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_police,Male,56,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_police,Male,56,10,8,2,8,0,0.833333333,0.8,1,1,Slightly likely,Slightly likely,Neither,TRUE,TRUE,FALSE
p19,UI,alarm_police,Male,56,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Slightly unlikely,Slightly unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_police,Male,56,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Quite unlikely,Slightly unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_police,Male,56,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_police,Male,56,10,10,0,10,0,1,1,1,1,Extremely likely,Extremely likely,Extremely likely,TRUE,TRUE,TRUE
p19,UI,alarm_police,Male,56,10,10,0,12,2,1,1,0.833333333,0.833333333,Quite likely,Slightly likely,Neither,TRUE,TRUE,FALSE
p19,UI,alarm_police,Male,56,10,10,0,15,5,1,1,0.666666667,0.666666667,Slightly unlikely,Slightly likely,Extremely unlikely,FALSE,TRUE,FALSE
p19,UI,alarm_police,Male,56,10,10,0,20,10,1,1,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_text_message,Male,56,10,5,5,5,0,0.5,0.5,1,1,Extremely unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_text_message,Male,56,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Extremely unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_text_message,Male,56,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_text_message,Male,56,10,5,5,10,5,0.5,0.5,0.5,0.5,Extremely unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_text_message,Male,56,10,7,3,7,0,0.666666667,0.7,1,1,Slightly unlikely,Slightly likely,Quite unlikely,FALSE,TRUE,FALSE
p19,UI,alarm_text_message,Male,56,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Quite unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_text_message,Male,56,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_text_message,Male,56,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_text_message,Male,56,10,8,2,8,0,0.833333333,0.8,1,1,Slightly unlikely,Quite likely,Slightly likely,FALSE,TRUE,TRUE
p19,UI,alarm_text_message,Male,56,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Slightly likely,Slightly likely,Slightly unlikely,TRUE,TRUE,FALSE
p19,UI,alarm_text_message,Male,56,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Quite unlikely,Slightly unlikely,Slightly unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_text_message,Male,56,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p19,UI,alarm_text_message,Male,56,10,10,0,10,0,1,1,1,1,Extremely likely,Extremely likely,Extremely likely,TRUE,TRUE,TRUE
p19,UI,alarm_text_message,Male,56,10,10,0,12,2,1,1,0.833333333,0.833333333,Slightly likely,Quite likely,Slightly likely,TRUE,TRUE,TRUE
p19,UI,alarm_text_message,Male,56,10,10,0,15,5,1,1,0.666666667,0.666666667,Slightly likely,Quite likely,Slightly likely,TRUE,TRUE,TRUE
p19,UI,alarm_text_message,Male,56,10,10,0,20,10,1,1,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p23,Application,alarm_text_message,Male,30,10,5,5,5,0,0.5,0.5,1,1,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p23,Application,alarm_text_message,Male,30,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p23,Application,alarm_text_message,Male,30,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p23,Application,alarm_text_message,Male,30,10,5,5,10,5,0.5,0.5,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p23,Application,alarm_text_message,Male,30,10,7,3,7,0,0.666666667,0.7,1,1,Quite unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p23,Application,alarm_text_message,Male,30,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Quite unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p23,Application,alarm_text_message,Male,30,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Quite unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p23,Application,alarm_text_message,Male,30,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p23,Application,alarm_text_message,Male,30,10,8,2,8,0,0.833333333,0.8,1,1,Slightly likely,Neither,Quite unlikely,TRUE,FALSE,FALSE
p23,Application,alarm_text_message,Male,30,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Neither,Slightly unlikely,Quite unlikely,FALSE,FALSE,FALSE
p23,Application,alarm_text_message,Male,30,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Quite unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p23,Application,alarm_text_message,Male,30,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Slightly unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p23,Application,alarm_text_message,Male,30,10,10,0,10,0,1,1,1,1,Extremely likely,Quite likely,Slightly likely,TRUE,TRUE,TRUE
p23,Application,alarm_text_message,Male,30,10,10,0,12,2,1,1,0.833333333,0.833333333,Quite likely,Slightly likely,Neither,TRUE,TRUE,FALSE
p23,Application,alarm_text_message,Male,30,10,10,0,15,5,1,1,0.666666667,0.666666667,Slightly unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p23,Application,alarm_text_message,Male,30,10,10,0,20,10,1,1,0.5,0.5,Quite unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p23,Application,electricity,Male,30,10,5,5,5,0,0.5,0.5,1,1,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p23,Application,electricity,Male,30,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p23,Application,electricity,Male,30,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Extremely unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p23,Application,electricity,Male,30,10,5,5,10,5,0.5,0.5,0.5,0.5,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p23,Application,electricity,Male,30,10,7,3,7,0,0.666666667,0.7,1,1,Neither,Slightly likely,Quite unlikely,FALSE,TRUE,FALSE
p23,Application,electricity,Male,30,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Neither,Neither,Slightly unlikely,FALSE,FALSE,FALSE
p23,Application,electricity,Male,30,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Slightly unlikely,Slightly unlikely,Quite unlikely,FALSE,FALSE,FALSE
p23,Application,electricity,Male,30,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p23,Application,electricity,Male,30,10,8,2,8,0,0.833333333,0.8,1,1,Slightly likely,Slightly likely,Neither,TRUE,TRUE,FALSE
p23,Application,electricity,Male,30,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Slightly likely,Neither,Quite unlikely,TRUE,FALSE,FALSE
p23,Application,electricity,Male,30,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Slightly unlikely,Slightly unlikely,Quite unlikely,FALSE,FALSE,FALSE
p23,Application,electricity,Male,30,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Quite unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p23,Application,electricity,Male,30,10,10,0,10,0,1,1,1,1,Extremely likely,Quite likely,Slightly likely,TRUE,TRUE,TRUE
p23,Application,electricity,Male,30,10,10,0,12,2,1,1,0.833333333,0.833333333,Slightly likely,Slightly likely,Slightly unlikely,TRUE,TRUE,FALSE
p23,Application,electricity,Male,30,10,10,0,15,5,1,1,0.666666667,0.666666667,Slightly unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p23,Application,electricity,Male,30,10,10,0,20,10,1,1,0.5,0.5,Extremely unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p23,Application,location,Male,30,10,5,5,5,0,0.5,0.5,1,1,Extremely unlikely,Slightly unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p23,Application,location,Male,30,10,5,5,6,1,0.5,0.5,0.833333333,0.833333333,Quite unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p23,Application,location,Male,30,10,5,5,8,3,0.5,0.5,0.666666667,0.625,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p23,Application,location,Male,30,10,5,5,10,5,0.5,0.5,0.5,0.5,Extremely unlikely,Extremely unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p23,Application,location,Male,30,10,7,3,7,0,0.666666667,0.7,1,1,Slightly likely,Slightly unlikely,Slightly unlikely,TRUE,FALSE,FALSE
p23,Application,location,Male,30,10,7,3,8,1,0.666666667,0.7,0.833333333,0.875,Slightly unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p23,Application,location,Male,30,10,7,3,11,4,0.666666667,0.7,0.666666667,0.636363636,Slightly unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p23,Application,location,Male,30,10,7,3,14,7,0.666666667,0.7,0.5,0.5,Extremely unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p23,Application,location,Male,30,10,8,2,8,0,0.833333333,0.8,1,1,Slightly likely,Slightly likely,Neither,TRUE,TRUE,FALSE
p23,Application,location,Male,30,10,8,2,10,2,0.833333333,0.8,0.833333333,0.8,Neither,Slightly likely,Slightly unlikely,FALSE,TRUE,FALSE
p23,Application,location,Male,30,10,8,2,12,4,0.833333333,0.8,0.666666667,0.666666667,Slightly unlikely,Quite unlikely,Quite unlikely,FALSE,FALSE,FALSE
p23,Application,location,Male,30,10,8,2,16,8,0.833333333,0.8,0.5,0.5,Extremely unlikely,Quite unlikely,Extremely unlikely,FALSE,FALSE,FALSE
p23,Application,location,Male,30,10,10,0,10,0,1,1,1,1,Extremely likely,Quite likely,Slightly likely,TRUE,TRUE,TRUE
p23,Application,location,Male,30,10,10,0,12,2,1,1,0.833333333,0.833333333,Slightly likely,Slightly likely,Slightly unlikely,TRUE,TRUE,FALSE
p23,Application,location,Male,30,10,10,0,15,5,1,1,0.666666667,0.666666667,Quite unlikely,Slightly unlikely,Quite unlikely,FALSE,FALSE,FALSE
